标题,日期,时间,板块1,标的组合1,板块2,标的组合2,板块3,标的组合3,板块4,标的组合4,板块5,标的组合5,板块6,标的组合6,板块7,标的组合7,板块8,标的组合8,板块9,标的组合9,板块10,标的组合10,板块11,标的组合11,板块12,标的组合12,板块13,标的组合13,板块14,标的组合14,板块15,标的组合15,简述,推荐理由,预期,原文
【华西计算机】稳定币市场动态追踪(0708),2025-07-09,00:21,金融科技,Circle、火币HTX,区块链,波场TRON,,,,,,,,,,,,,,,,,,,,,,,,,,,稳定币市场动态追踪显示，国内外稳定币市场发展迅速，Circle和火币HTX等机构在欧盟和波场TRON网络上取得进展。,稳定币市场规模的扩大和技术进展，以及其在跨境贸易和金融领域的应用潜力，为相关公司和平台带来增长机会。,稳定币市场未来规模可能突破万亿美元，相关公司和平台的业务和股价有望受益于这一趋势。,"【华西计算机】稳定币市场动态追踪(0708)

【国内动态】
(1)经济学家洪灏表示，稳定币市场未来规模可能突破万亿美元。他认为稳定币既能缓解美国国债压力，又便利中国跨境贸易结算，其高效低成本特性将助力人民币国际化。
(来源：观点网)

【国际动态】
(1)Circle欧盟政策总监Patrick Hansen分享，欧盟MiCA法规最新进展为14家机构获批发行20种稳定币，39家加密服务商获许可，涵盖传统金融和加密企业。
(来源：PANews)
(2)火币HTX成为首家支持波场TRON网络稳定币USD1的交易平台，现已开放充值。用户可享受快速低成本的USD1跨链服务。
(来源：BlockBeats)

免责声明：本信息仅供在新媒体背景下研究观点的及时交流。在任何情况下，本信息并不构成对任何人的投资建议。
联系人：华西计算机刘泽晶（SAC NO:S1120520020002）/李静远"
【国防军工】中国航空工业集团董事长调整：,2025-07-09,00:21,国防军工,中航西飞、中国海防、中兵红箭、内蒙一机、亚星锚链、北方导航、光电股份、北化股份、宗申动力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中国航空工业集团董事长调整，国防军工板块迎来新机遇。内需向上、军贸引领及9月3日阅兵事件，推动板块战略价值重估。,新董事长到位，国防军工板块内需增长、军贸影响力提升及阅兵展示新域新质装备，多重因素推动板块发展。,国防军工板块有望在2025年前完成“十四五”目标任务，军贸增长及阅兵事件可能带动板块短期至中期上涨。,"【国防军工】中国航空工业集团董事长调整：

程福波已任中国航空工业集团有限公司董事长、党组书记。程福波曾任中航工业成飞董事长、中国商飞党委常委、陕西省委常委、广东省委常委、中国兵器工业集团董事长。

中航工业作为国防军工最重要的集团之一，新董事长到位，具重要意义。

【国防军工】核心逻辑
1、内需向上：2025年作为“十四五”最后一年，各大军工集团努力完成“十四五”目标任务。

2、军贸引领：俄乌、印巴、伊以3场战争之后，中国武器装备在全球获得重大影响力，军贸有望引领国防军工战略价值重估！

3、9月3日阅兵：新域新质。本次阅兵，聚焦（1）新一代传统武器装备、（2）新型作战力量：无人智能、水下作战、网电攻防、高超声速等。9月3日盛大阅兵，可能不仅仅是短期的“阅兵牛”，而是大国崛起的一个重要表征！

【国防军工】近期重点推荐：中航西飞（7月金股）、中国海防（近期深入沟通，欢迎交流）、中兵红箭（5月金股，远火）、内蒙一机（无人坦克）、亚星锚链；持续看好：北方导航（远火）、光电股份、北化股份（火工品）、宗申动力（无人机发动机）等"
【财通商社】长白山定增获批，持续完善景区二消业态及提升内部交通产能,2025-07-09,00:21,旅游,长白山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,长白山定增方案获批，资金将用于火山温泉部落二期及交通设备提升项目，旨在丰富景区二消业态及提升内部交通产能。,定增项目将增加亲子度假设施和改善交通服务，预计将提升游客接待能力和公司盈利能力。,项目建成后，年游客接待能力约99.9万人次，预计2025年竣工，有望带动公司业绩增长。,"【财通商社】长白山定增获批，持续完善景区二消业态及提升内部交通产能

7.8，长白山定增方案获证监会同意批复，此次公司定增资金主要用于长白山火山温泉部落二期以及交通设备提升项目，总投资额分别为5.36、1.14亿元，拟使用募投资金2、0.36亿元，合计通过定增募集资金2.36亿元。

项目介绍：1⃣温泉部落二期：本项目拟在现有长白山火山温泉部落一期项目基础上增加亲子俱乐部、赏雪山亲子客房、全天候室内温泉、赏雪风情露天温泉、网红无边泳池、森林餐厅、特色商业等丰富基地的旅游产品，打造一个以亲子度假为主题的“吃、住、行、游、娱、购”于一体的旅游综合度假区。项目占地面积2.38万平方米，建筑面积4.17万平方米，地下1层，地上主体 7 层，项目建成后，年游客接待能力约 99.9 万人次。项目计划2025年竣工投入使用；2⃣交通设备：通过购置大型客车、中型客车、越野车等不同型号的车辆以满足景区游客的出行需求。

本次定增顺利获批，定增项目有助于提升长白山景区内二消场景丰富度以及景区内部交通产能，带动公司盈利能力持续增长。

资料来源:公司公告、财通证券研究所

联系人：耿荣晨/周诗琪"
"【天风机械】人形机器人更新<e type=""hashtag"" hid=""48812111425228"" title=""%23%E6%9D%BF%E5%9D%97%E8%A7%A6%E5%BA%95%E5%8F%8D%E5%BC%B9%E6%9C%BA%E4%BC%9A%23"" /> 0709",2025-07-09,00:34,机器人,上纬新材、奥比中光、恒工、富临、龙溪、中大力德、亿嘉和、美湖、豪能、隆盛、信捷、福立旺、众辰、宇树、长盛,人工智能,智元机器人、特斯拉、华为云无锡人工智能创新中心、WAIC世界人工智能大会,养老,养老机器人,,,,,,,,,,,,,,,,,,,,,,,,,人形机器人及人工智能领域迎来多项更新，包括股权交易、产品发布及展会活动，相关标的如智元机器人、特斯拉及华为云等备受关注。,技术进步和产业升级推动机器人及人工智能领域快速发展，相关公司有望受益于技术创新和市场扩张。,机器人及人工智能板块预计将有显著增长，特别是在技术创新和产品发布推动下，相关公司股价和业绩有望提升。,"【天风机械】人形机器人更新<e type=""hashtag"" hid=""48812111425228"" title=""%23%E6%9D%BF%E5%9D%97%E8%A7%A6%E5%BA%95%E5%8F%8D%E5%BC%B9%E6%9C%BA%E4%BC%9A%23"" /> 0709

1️⃣上纬新材：智元机器人至少收购其63.62%股份。待本次股权交易完成后，上纬新材控股股东将变更为智元机器人及其管理团队共同持股的主体，实际控制人将变更为邓泰华等。（建议关注：奥比中光、恒工、富临、龙溪、中大力德）
2️⃣特斯拉：马斯克刚刚宣布，Grok 4将于明日正式发布。
3️⃣智元/富临：将于7月9日（周三）直播展示全球首次通用具身机器人工业现场常态化作业。
4️⃣魔法原子：推出高动态双足人形机器人MagicBot Z1，拥有自研高性能关节模组，24基础自由度，最多可扩展至49自由度。
5️⃣央视&新华网报道推广养老机器人。（建议关注：亿嘉和、美湖、豪能）
6️⃣柯力传感收购他山科技。

未来时间线

1️⃣7.11华为云无锡人工智能创新中心发布 （建议关注：隆盛、信捷、亿嘉和）
2️⃣7.24 5:30特斯拉中报交流会（建议关注：福立旺）
3️⃣7.26 WAIC世界人工智能大会举办
4️⃣8.14北京机器人运动会
5️⃣9.3jy有望展示：机器人/狗➕无人机方阵（建议关注：豪能、众辰）
6️⃣宇树有望在Q3在科创板（绿通）上市（建议关注：美湖、长盛、众辰）

更多信息欢迎@天风机械"
【华创能源化工杨晖团队】巨化股份2025年中报业绩预告点评：Q2净利润同环比大幅提升，制冷剂景气持续提升,2025-07-09,00:21,化工,巨化股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,巨化股份2025年中报业绩预告显示Q2净利润同环比大幅提升，制冷剂景气持续提升，公司作为制冷剂行业龙头，业绩持续兑现。,制冷剂延续涨价趋势，三代制冷剂供需紧平衡，公司掌握行业定价权，业绩持续兑现，目前估值较低，具备配置性价比。,预计制冷剂价格将继续上涨，公司业绩有望持续增长，目前PE仅10x，估值有提升空间。,"【华创能源化工杨晖团队】巨化股份2025年中报业绩预告点评：Q2净利润同环比大幅提升，制冷剂景气持续提升

公司发布2025年半年报业绩预告，预计2025年上半年实现归母净利润19.7-21.3亿元，其中Q2实现归母净利润11.61-13.21亿元，同比+121.56%~+152.10%，环比+43.51%~+63.29%。

[太阳]制冷剂延续涨价，为业绩主要贡献点
根据经营数据，公司Q2制冷剂板块收入34.69亿元，同步+49%/环比+32%，其中销量为8.48万吨，同比-10%/环比+21%，均价4.09万元/吨，同比+65%/环比+9%。二代及三代制冷剂自2024年以来持续涨价，在家电补贴的托举及供给端协同下，25Q2制冷剂延续涨价趋势，目前主流制冷剂R22/R32/R125/R134a的价格分别为3.5/5.3/4.55/4.95万元/吨，内外贸价格基本追平。展望后续来看，三代制冷剂延续供需紧平衡趋势，制冷剂企业的产业链定价权持续强化，R32的三季度长协价达到5万元/吨+的高度，现货价在7月高温天气下持续上涨。二代R22的售后市场旺季如期来临，Q3价格有望快速上涨。远期来看，四代价格目前仍在20万元/吨+的价格水平，三代制冷剂存在较高的上涨空间。

[太阳]非制冷剂业务同环比改善，高分子等价格已经走出底部
根据经营数据，公司含氟聚合物Q2收入同比+6%/环比+9%，含氟精细化学品Q2收入同比+55%/环比+58%。基础化工品Q2收入同比+22%/环比+12%。2024年公司非制冷剂业务因市场因素持续下滑，但Q2收入同环比皆增长，PVDF等产品价格也已经走出底部，非制冷剂业务包袱持续减轻。

公司作为制冷剂行业龙一，掌握行业定价权，并且2025年以来业绩持续兑现。而最主流的三代制冷剂R32在过去1年半的周期中持续验证供给有效协同的强逻辑，价格从未回调，摆脱了传统周期的规律，理应给予高估值。而根据我们目前的日度业绩年化测算结果，目前公司仅10x PE，具备较强配置性价比。

☎联系人：杨晖13717871708/郑轶/王鲜俐13023162796/吴宇/陈俊新/申起昊"
【国盛军工】强CALL军用机器人赛道，重大变化,2025-07-08,23:35,军工,Palantir、晶品特装、飞亚达、建设工业,AI,Palantir,,,,,,,,,,,,,,,,,,,,,,,,,,,军用机器人赛道迎来重大变化，美国军工AI方向已诞生20倍的Palantir，国内上市公司预中标军用作战机器人订单，标志着赛道正式启动。,军用机器人赛道进入0-100阶段，首批订单体量大，重点型号装备放量，类比J20赛道，有望诞生多倍股。,军用机器人赛道有望复制J20赛道的成功，相关公司股价有显著上涨空间。,"【国盛军工】强CALL军用机器人赛道，重大变化

美国军工AI方向已经诞生20倍的Palantir，AI应用或者机器人预计快速及迫切落地场景是军工。

近期，某上市公司预中标军用作战机器人订单，代表军用机器人赛道进入0-100阶段，正式启动。

该批次订单类比2020年启动的J20赛道，首批体量很大，均是重点型号装备放量。J20诞生爱乐达等5倍股。同样后续军用机器人空间巨大，新质战斗力值得重视！

🔥重点关注：
民企：晶品特装、68亿
中航工业集团：飞亚达、68亿
兵器装备集团：建设工业、282亿

备注：飞亚达，现金收购长空齿轮切入机器人减速器，或成长为中航工业集团机器人平台"
"<e type=""text_bold"" title=""%20%E5%9B%BA%E6%80%81%E5%8F%98%E5%8E%8B%E5%99%A8%EF%BC%88SST%EF%BC%89%E6%B7%B1%E5%BA%A6%E8%A7%A3%E6%9E%90"" />",2025-07-08,23:42,数据中心供电技术,英伟达、维谛、台达、中国西电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数据中心供电技术持续演进，800V HVDC技术预计在2025-2026年迎来应用高峰，英伟达、维谛、台达等公司参与测试。,800V HVDC技术提升效率、节省占地面积、简化供电链路，预计将带动数据中心供电技术行业的快速增长。,预计2026年及以后迎来规模化应用拐点，未来6年复合增长率（CAGR）预计超过60%。,"<e type=""text_bold"" title=""%20%E5%9B%BA%E6%80%81%E5%8F%98%E5%8E%8B%E5%99%A8%EF%BC%88SST%EF%BC%89%E6%B7%B1%E5%BA%A6%E8%A7%A3%E6%9E%90"" />

<e type=""text_bold"" title=""%E8%83%8C%E6%99%AF%E4%B8%8E%E9%A9%B1%E5%8A%A8%E5%9B%A0%E7%B4%A0%EF%BC%9A"" />
数据中心供电技术持续演进：从传统UPS -> HVDC (240V为主) -> 800V HVDC (新兴) -> 巴拿马电源/火车头（高度集成）-> <e type=""text_bold"" title=""%E5%9B%BA%E6%80%81%E5%8F%98%E5%8E%8B%E5%99%A8%EF%BC%88SST%EF%BC%8C%E6%9C%AA%E6%9D%A5%E6%96%B9%E5%90%91%EF%BC%89"" />。
演进目标：提升效率、节省占地面积、简化供电链路。
800V HVDC：在2024年GTC大会上，英伟达、维谛、台达等宣布启动小规模测试，预计明后年（2025-2026）迎来应用高峰。


<e type=""text_bold"" title=""SST%20%E6%8A%80%E6%9C%AF%E5%8E%9F%E7%90%86%E4%B8%8E%E4%BC%98%E5%8A%BF%EF%BC%9A"" />
<e type=""text_bold"" title=""%E6%A0%B8%E5%BF%83%E7%BB%93%E6%9E%84%EF%BC%9A"" /> 由电力电子变换器和高频变压器（工作频率 ≥ 1000 Hz）组成。
<e type=""text_bold"" title=""%E5%B7%A5%E4%BD%9C%E5%8E%9F%E7%90%86%EF%BC%9A"" /> 10kV交流输入 -> 固态变压器 -> 直接输出目标直流电压（如800V），省去中压配电柜和工频变压器降压环节。
<e type=""text_bold"" title=""%E5%85%B3%E9%94%AE%E4%BC%98%E5%8A%BF%20(vs.%20HVDC%20%26%20%E4%BC%A0%E7%BB%9F%E6%96%B9%E6%A1%88)%EF%BC%9A%E4%BE%9B%E7%94%B5%E9%93%BE%E8%B7%AF%E7%AE%80%E5%8C%96%EF%BC%9A"" /> 电路进一步缩短。
<e type=""text_bold"" title=""%E5%8D%A0%E5%9C%B0%E9%9D%A2%E7%A7%AF%E5%B0%8F%EF%BC%9A"" /> 配电面积减少约63%（省去工频变压器）。
<e type=""text_bold"" title=""%E6%95%88%E7%8E%87%E6%8F%90%E5%8D%87%EF%BC%9A"" /> 整体效率提升约2-3个百分点（得益于链路缩短和高频变压器）。
<e type=""text_bold"" title=""%E9%87%8D%E9%87%8F%E8%BD%BB%EF%BC%9A"" /> 高频变压器体积重量远小于工频变压器。
<e type=""text_bold"" title=""%E5%8A%9F%E8%83%BD%E9%9B%86%E6%88%90%EF%BC%9A"" /> 集电气隔离、电压变换、无功补偿、谐波抑制、电压平衡于一体。
<e type=""text_bold"" title=""%E5%A4%9A%E7%AB%AF%E5%8F%A3%E8%BE%93%E5%87%BA%EF%BC%9A"" /> 可按需提供多个直流端口。
<e type=""text_bold"" title=""%E6%A8%A1%E5%9D%97%E5%8C%96%E6%89%A9%E5%B1%95%EF%BC%9A"" /> 易于扩容。
<e type=""text_bold"" title=""%E8%83%BD%E9%87%8F%E5%8F%8C%E5%90%91%E6%B5%81%E5%8A%A8%20%26%20%E6%96%B0%E8%83%BD%E6%BA%90%E8%9E%8D%E5%90%88%EF%BC%9A"" /> 方便整合光伏、风电、储能等直流源/荷，提升数据中心绿电比例。


<e type=""text_bold"" title=""%E5%BD%93%E5%89%8D%E5%8F%91%E5%B1%95%E9%98%B6%E6%AE%B5%EF%BC%9A"" />
<e type=""text_bold"" title=""%E5%85%A8%E7%90%83%E7%8E%B0%E7%8A%B6%EF%BC%9A"" /> 处于样机研发和个别项目测试阶段（如台达有成熟产品，维谛在开发；中国西电2023年为“东数西算”项目提供过数台）。标准体系尚不成熟，应用端需数据积累。
<e type=""text_bold"" title=""%E8%A7%84%E6%A8%A1%E5%8C%96%E6%8B%90%E7%82%B9%E9%A2%84%E6%9C%9F%EF%BC%9A"" /> 市场普遍预计在2025年后半段（约2026年及以后）迎来规模化应用拐点。


<e type=""text_bold"" title=""%E5%B8%82%E5%9C%BA%E7%A9%BA%E9%97%B4%E9%A2%84%E6%B5%8B%EF%BC%9A"" />
<e type=""text_bold"" title=""2024%E5%B9%B4%EF%BC%9A"" /> 全球约14亿人民币，主要在非数据中心领域（如直流配网示范项目）。
<e type=""text_bold"" title=""2028%E5%B9%B4%EF%BC%9A"" /> 预计达48亿人民币（数据中心应用带动）。
<e type=""text_bold"" title=""2030%E5%B9%B4%EF%BC%9A"" /> 预计接近240亿人民币。
<e type=""text_bold"" title=""%E5%A2%9E%E9%80%9F%EF%BC%9A"" /> 未来6年复合增长率（CAGR）预计超过60%，是增速最快的行业之一。"
【华泰机械】智元机器人有望开启新一轮机器人行情,2025-07-08,23:57,机器人,智元机器人、上纬新材、宇树、云深处、中大力德、龙溪股份、卧龙电驱、领益制造、长盈精密、蓝思科技、均普智能、宁波华翔、富临精工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,智元机器人通过收购上纬新材股份，有望成为内地机器人第一股，推动行业估值提升及产业发展。,智元机器人快速融资及借壳上市策略，加上行业资本化进程加速，为相关产业链公司带来增长机会。,机器人行业整体估值有望提升，相关公司股价可能迎来上涨。,"【华泰机械】智元机器人有望开启新一轮机器人行情

事件：
上纬新材今日公告，智元机器人至少收购其63.62%股份。本次股权交易完成后，上纬新材控股股东将变更为智元机器人及其管理团队共同持股的主体，实际控制人将变更为邓泰华，核心团队包括稚晖君等。

观点：
由于智元直接上市仍面临审核压力，借壳或成为其快速实现内地机器人第一股的途径。智元2年时间内完成多轮融资，最新一轮估值已达150亿元。

智元此次资本市场的举动将推动宇树/云深处等公司资本化进程的加速，推动整体行业估值提高并加速产业发展。

推荐关注：
【行星减速器】中大力德
【轴承】龙溪股份
【电机】卧龙电驱
【代工】领益制造/长盈精密蓝思科技/均普智能/宁波华翔/富临精工

华泰机械 倪正洋/王自"
美团：即时零售竞争加剧，预计暑期后或能缓解【国金可选｜商贸零售】,2025-07-08,23:35,商贸零售,美团、淘宝闪购、京东、饿了么,,,,,,,,,,,,,,,,,,,,,,,,,,,,,即时零售竞争加剧，美团、淘宝闪购、京东等平台通过补贴大战快速提升单量，预计暑期后竞争或能缓解。,补贴战短期内拉动单量增长，长期看美团凭借履约效率和运营管理能力仍为赛道龙一。,Q3补贴对UE的负面影响为高点，后续有望缓解；美团份额有望企稳。,"美团：即时零售竞争加剧，预计暑期后或能缓解【国金可选｜商贸零售】

近期外卖补贴大战升级驱动大盘单量快速增长，各家平台积极投入以稳定和突破用户。7月2日淘宝闪购宣布500亿元补贴计划，7月8日京东宣布正式启动“双百计划”。7月5日美团即时零售单日订单突破1.2亿单，其中餐饮订单超过1亿单，7月7日淘宝闪购和饿了么联合宣布，淘宝闪购日订单数超8000万，其中非餐饮订单超1300万。

我们的观点：
🌟补贴战对UE的负面影响预计在Q3为高点，后续有望缓解。美团及淘宝闪购的补贴近期开始加码，暑期茶饮等品类弹性较大，短期单量的拉动有较大程度是由补贴驱动的此类需求，目前单均补贴处于高位，展望后续，淘宝闪购的500亿补贴计划为1年内预算，若不追加预算补贴力度将回归至正常水平。

🌟非餐品类的大盘在补贴战下实现快速增长，此轮竞争有助于加速培养用户的即时零售消费习惯，长期来看赛道龙一最为受益。

🌟短期的补贴驱动不可持续，维持长期看好美团仍为龙一的观点。近期用户多平台切换对比价格趋势有所提升，但供给丰富度、履约效率和用户心智仍为长期制胜关键，美团多年建立的履约效率壁垒及运营管理能力为公司的核心竞争力，补贴发力后份额有望企稳。

☎️欢迎联系：
国金可选消费赵中平团队
国金商贸零售于健/许孟婕17262633779"
"【财通计算机】稳定币与RWA日报<e type=""hashtag"" hid=""88814111545412"" title=""%2320250708%23"" />",2025-07-09,00:20,金融科技,极光（JG、US）,医疗器械,BioSig,区块链与加密货币,HashNut、Streamex,,,,,,,,,,,,,,,,,,,,,,,,,稳定币与RWA（真实世界资产）领域动态频出，包括离岸人民币稳定币的提议、稳定币赋能外贸的探索、欧盟MiCA牌照发放、极光与HashNut的合作，以及BioSig与Streamex的合并。,稳定币和RWA代币化正成为全球金融科技和区块链领域的热点，各国和企业在积极探索其应用，以推动金融创新和国际化。,稳定币和RWA相关企业及项目预计将获得更多市场关注和资金流入，推动相关板块股价和业务增长。,"【财通计算机】稳定币与RWA日报<e type=""hashtag"" hid=""88814111545412"" title=""%2320250708%23"" />

#全国政协常委建议：以香港为跳板发行离岸人民币稳定币
——【全国政协常委】、香港嘉祥交通集团董事长姚志胜强调，从国际市场支付需求来讲，港元稳定币应用场景不会太多，使用量也不可能太大。对香港来说，发展稳定币主要不是因为港元稳定币本身有多么重要，而是在于香港可以就人民币国际化在稳定币领域先行先试，成为离岸人民币稳定币主要平台。将建议特区政府争取中央支持，#在港发展由官方认证的离岸人民币稳定币，做大做强离岸人民币稳定币。
我们认为稳定币已演化成了大国Fintech竞争的主战场，若离岸人民币稳定币顺利发行，有望在资金流层面与中国制造背书的货物流相结合，推动人民币更大程度走向世界，抢占欠发达国家金融话语权。3个字，“试验田”！

#无锡市委明确提出：探索稳定币赋能外贸发展的实践路径
——无锡市委在全市重点改革任务专题推进会中首次提出#""探索稳定币赋能外贸发展的实践路径""，将其与数字贸易、跨境电商等并列作为创新业态重点推进。
我们认为地方政府首次提出利用稳定币赋能外贸具有前瞻性和魄力，是解放思想、先行先试的重要探索。

#欧盟MiCA首批牌照落地：14家稳定币发行商获批
——根据Circle欧盟政策总监披露，目前已有14家来自7个欧盟国家的机构获批发行稳定币（法国3家、德国等国各有1-3家），发行20种法币稳定币，包括12种欧元计价，7种美元计价，1种以捷克克朗计价。同时39家加密资产服务商（含传统银行、金融科技及加密原生企业）获得MiCA运营许可。
我们认为欧盟已在稳定币发行商走到牌照发放这一步，步伐较快，稳定币已成为全球各国不容错过的历史级产业趋势。

#极光与HashNut达成战略合作，共推稳定币支付解决方案
——极光（JG,US）与加密支付服务商HashNut达成合作，已在东南亚市场实现数百万美元稳定币年结算规模，#未来将共同开发面向中国出海企业的合规稳定币支付方案，重点布局数字广告、内容出海等场景，并依托香港监管优势探索持牌稳定币项目合作。
我们认为稳定币的应用正在加速泛化，各类出海企业均在探索如何抓住稳定币机遇，赋能自身业务。

#纳斯达克上市公司BioSig与Streamex合并，拟募资11亿美元推进黄金RWA代币化
——BioSig（医疗器械公司）宣布与Streamex（基于区块链的加密货币与数字支付平台）合并，计划通过Cantor Fitzgerald牵头融资11亿美元，#重点布局黄金等大宗商品的RWA代币化业务。
我们认为大宗商品/贵金属上链是当前RWA赛道的重要应用场景，具备合规框架和机构级托管能力的RWA项目将率先获得市场认可。"
